Year;Month;Day type;Time;Appliances;Power (MW)
2015;12;weekend;11:00:00;Others;480.7670443
2015;12;weekend;12:00:00;Others;406.4007403
2015;12;weekend;13:00:00;Others;277.6735212
2015;12;weekend;14:00:00;Others;293.5367938
2015;12;weekend;15:00:00;Others;271.2199217
2015;12;weekend;16:00:00;Others;184.7551388
2015;12;weekend;17:00:00;Others;193.0232184
2015;12;weekend;18:00:00;Others;281.7071105
2015;12;weekend;19:00:00;Others;245.0010133
2015;12;weekend;20:00:00;Others;205.2049354
2015;12;weekend;21:00:00;Others;127.3795245
2015;12;weekend;22:00:00;Others;146.2019752
2015;12;weekend;23:00:00;Others;208.8461164
2015;1;weekday;00:00:00;Refrigerators;124.3573454
2015;1;weekday;01:00:00;Refrigerators;124.3573454
